listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,listings_per_host,minimum_nights_per_listing
44077,cosy comfortable Irish cottage twin,193005,Teresa,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,61,3,267,16/11/2022,1.87,2,66,40,2,3
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,61,3,226,12/12/2022,1.61,2,70,44,2,3
159889,Friendly Single Room,766611,Marie,Dublin City,53.39027,-6.23547,Private room,50,2,368,04/12/2022,2.82,3,251,51,3,2
162809,5.5 miles south of Dublin City :^),777681,Robbie,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,70,1,329,27/11/2022,3.59,2,0,41,2,1
165828,Pádraig Pearse apt. Kilmainham,790601,Grainne,Dublin City,53.33744,-6.32363,Entire home/apt,180,5,70,28/11/2022,0.52,5,43,14,5,5
165829,"The ""Michael Collins"" apartment",790601,Grainne,Dublin City,53.33744,-6.32363,Entire home/apt,189,3,77,16/11/2022,0.58,5,21,19,5,3
178860,Georgian House in Heart of City Ctr,856312,Danielle,Dublin City,53.33281,-6.2675,Private room,80,2,313,19/08/2021,2.5,2,0,0,2,2
3441994,"One double room, close to Dublin city :)",17345952,Piotr,Dublin City,53.39147,-6.26239,Private room,125,3,26,28/09/2019,0.51,1,0,0,1,3
1943366,Exquisitely restored Victorian Flat - WB Yeats,1557844,Liam And Fiona,Dublin City,53.35691,-6.29164,Entire home/apt,174,2,137,22/11/2022,1.31,8,221,29,8,2
1963074,Private room with own entrance,10124896,Robyn,Dublin City,53.39105,-6.27775,Private room,105,1,640,02/12/2022,6.28,1,275,94,1,1
2026810,2 single cosy rooms in Ranelagh,6782586,Mary,Dublin City,53.32338,-6.25333,Private room,53,3,301,26/11/2022,2.8,2,236,33,2,3
2069629,"City Centre Apartment, sleeps 2",10583714,Michelle,Dublin City,53.34665,-6.26371,Entire home/apt,95,14,64,13/06/2019,0.78,1,0,0,1,14
2084913,Ensuite luxury - Dublin city center,5670240,Patricia,Dublin City,53.34932,-6.26709,Private room,80,2,48,21/10/2016,0.51,1,0,0,1,2
2121887,Great Penthouse In City Centre,4681988,Gareth,Dublin City,53.33914,-6.26709,Entire home/apt,70,2,7,28/01/2018,0.1,1,0,0,1,2
2162973,Cosy Georgian independent flat in Ranelagh.,1467387,Ali,Dublin City,53.32147,-6.24967,Entire home/apt,125,14,58,09/07/2022,0.53,1,0,2,1,14
3474511,DUBLIN CITY CENTRE – Double Room,17501731,Kieran,Dublin City,53.33531,-6.26685,Private room,99,1,640,30/08/2022,6.37,2,0,5,2,1
3482676,1 bed entire  house in Dublin 4,15735948,Noreen,Dublin City,53.33597,-6.22378,Entire home/apt,210,1,5,25/02/2016,0.06,1,0,0,1,1
3540544,Spacious Double Room,17822866,Jordan,Dublin City,53.33084,-6.25184,Private room,50,1,0,,,1,0,0,1,1
3576358,THE DOME: 3 Bedroom Townhouse Dublin.,17981524,Christina,Dublin City,53.32542,-6.31536,Entire home/apt,120,7,28,06/08/2019,0.43,5,0,0,5,7
3579644,Double Room 1,18030374,Caroline,South Dublin,53.28895,-6.30707,Private room,60,2,253,11/12/2022,2.47,2,177,41,2,2
3581384,Contemporary 3 Bedroom Townhouse Dublin Central,17981524,Christina,Dublin City,53.32579,-6.3159,Entire home/apt,120,7,20,18/08/2019,0.37,5,0,0,5,7
2164444,Historic Oasis - Heart Of Dublin,11013512,Ben,Dublin City,53.32889,-6.25116,Private room,80,2,482,13/10/2022,4.49,2,63,57,2,2
2165074,"1 bedroom apartment, city view, sleep 4",11047034,Cynthia,Dublin City,53.39551,-6.26308,Entire home/apt,120,3,121,29/08/2022,1.14,1,14,6,1,3
181823,Comfy room 5k from Croke Park - near beach/town.,608225,Norah,Dublin City,53.3374,-6.22061,Private room,75,1,51,12/09/2022,0.37,2,69,1,2,1
2202076,Beautiful two bedroom apartment,503635,Rory,Dn Laoghaire-Rathdown,53.26852,-6.11418,Entire home/apt,100,3,0,,,1,0,0,1,3
3581655,Twin room,18030374,Caroline,South Dublin,53.28917,-6.30743,Private room,60,2,282,28/11/2022,2.76,2,146,46,2,2
3592153,"Victorian House
4 Bed City Centre
Ballsbridge
D4",17259900,Conor,Dublin City,53.33219,-6.22718,Entire home/apt,950,2,163,20/11/2022,1.62,1,145,29,1,2
2215722,Clontarf Dublin 3,11294447,Jim,Dublin City,53.37106,-6.19743,Private room,120,1,0,,,1,0,0,1,1
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,Dublin City,53.39558,-6.17524,Entire home/apt,63,1,412,19/11/2022,3.08,3,151,95,3,1
2283713,Camden St: Central 'n' Cosy,3888023,Daragh,Dublin City,53.33408,-6.26463,Private room,75,2,337,28/11/2022,3.18,2,9,36,2,2
2295609,Dublin City large Victorian House,11725628,Martina,Dublin City,53.33821,-6.30562,Entire home/apt,180,7,0,,,1,0,0,1,7
2345315,Smart Modern Double Size Bedroom + own bathroom,11976922,Juliana,Dublin City,53.37637,-6.31702,Private room,50,20,227,10/10/2020,2.5,4,33,0,4,20
2385640,"Large Family Home - Very Central, Adjacent to Sea",12185528,Gareth,Dn Laoghaire-Rathdown,53.28973,-6.1284,Entire home/apt,179,10,1,19/07/2018,0.02,1,0,0,1,10
2394893,Warm family home & garden in D9,12173057,Maeve & Ken,Dublin City,53.39058,-6.24692,Private room,58,2,243,11/08/2022,2.33,3,0,3,3,2
2415104,House in the heart of Dublin,5580678,Lex,Dublin City,53.33364,-6.26584,Entire home/apt,800,5,256,18/09/2022,2.41,6,330,11,6,5
3604420,"Self Catering Barge, Tig Beatha",5001093,Trish,Dublin City,53.34736,-6.22631,Entire home/apt,165,2,28,05/09/2021,0.28,2,0,0,2,2
3604440,Beautful Apt in Iconic Millenium Tower @ Docklands,37345570,Kieran,Dublin City,53.34407,-6.2363,Entire home/apt,1219,14,123,22/06/2019,1.21,9,0,0,9,14
3622736,Beautiful House with Garden in City,18249653,Katie,Dublin City,53.33605,-6.27914,Entire home/apt,190,2,5,19/12/2017,0.06,1,0,0,1,2
3634410,Cosy Townhouse ideal for Winter in the city,18323987,Cathy,Dublin City,53.33757,-6.23803,Entire home/apt,164,2,63,06/11/2022,0.67,1,0,9,1,2
3634901,Fantastic penthouse in Dublin city centre,18327551,Ealáir,Dublin City,53.35519,-6.26989,Entire home/apt,130,3,45,28/11/2022,0.45,1,24,10,1,3
3634993,Modern Red Brick House in Trendy Dublin 8,2061049,Giustina,Dublin City,53.33504,-6.28201,Entire home/apt,414,2,2,22/09/2019,0.05,1,88,0,1,2
3643131,City 2 bed Cosy Cottage,18395651,Jo,Dublin City,53.33655,-6.28753,Entire home/apt,200,2,46,24/07/2017,0.46,1,0,0,1,2
3698469,"Killiney,Dublin-Period Villa-Private Room 2 of 2",390963,Anthony,Dn Laoghaire-Rathdown,53.24678,-6.12062,Private room,93,2,70,30/10/2022,0.79,2,326,10,2,2
3708033,Spacious modern house,18912114,Max,Dublin City,53.32587,-6.25865,Entire home/apt,700,3,7,04/02/2019,0.09,1,0,0,1,3
3723817,One bedroom house close to City Centre,11977133,Laura,Dublin City,53.33613,-6.32971,Entire home/apt,65,3,3,02/06/2019,0.06,1,0,0,1,3
3725793,Double Room in Spacious House,19033083,Teresa,Dn Laoghaire-Rathdown,53.30893,-6.24091,Private room,41,3,5,21/08/2016,0.06,7,0,0,7,3
2427857,Large family home and garden D9:,12173057,Maeve & Ken,Dublin City,53.38949,-6.24701,Private room,58,2,249,08/03/2020,2.34,3,0,0,3,2
2466169,Cozy Central Studio,11823727,Claudio,Dublin City,53.34526,-6.28195,Entire home/apt,96,3,215,24/10/2022,2.06,1,9,11,1,3
2471794,Elegant Victorian terrace house,12640966,Dorothy,Dn Laoghaire-Rathdown,53.2858,-6.13467,Private room,95,2,120,13/10/2022,1.15,1,235,45,1,2
2481147,Modern 3 Bed Duplex Apartment - Grand Canal,234243,Johnny,Dublin City,53.34573,-6.23746,Entire home/apt,468,3,28,01/09/2022,0.35,35,10,11,10,3
2486255,"Fairy House, Lucan,Private Room",2115318,Siobhan,South Dublin,53.35167,-6.45042,Private room,130,1,0,,,3,310,0,3,1
2489550,"Stunning Temple Bar, City Apartment",12036741,Micheál,Dublin City,53.3436,-6.2673,Entire home/apt,120,14,455,05/12/2022,4.38,16,76,12,10,14
2490267,Easily accessible Dublin apartment,12747019,Conor,Dublin City,53.34277,-6.30266,Private room,90,3,161,29/11/2022,1.72,1,83,2,1,3
2514537,Child friendly family home with large garden,12701356,Amy,Dublin City,53.36559,-6.22861,Entire home/apt,110,5,2,03/04/2018,0.03,1,0,0,1,5
2538861,Fabulous Bedroom in Luxurious Suite,12999579,Nico,Dublin City,53.33118,-6.26881,Private room,40,1,0,,,1,0,0,1,1
2574203,Small but perfectly formed,13054321,Conor,Dublin City,53.34223,-6.33011,Private room,51,2,391,05/12/2022,3.68,1,196,71,1,2
2607040,Artisan Cottage,13350457,Lisa,Dublin City,53.33461,-6.27329,Entire home/apt,120,3,58,14/11/2022,0.55,1,0,12,1,3
2610590,A Family Home- Dublin 8 City Centre,5550624,Aideen,Dublin City,53.33665,-6.27844,Entire home/apt,160,2,2,13/03/2020,0.03,1,0,0,1,2
2614726,Renovated Whiskey Distillery,13013536,Corina,Dublin City,53.36343,-6.24903,Private room,110,1,6,02/01/2015,0.06,1,0,0,1,1
2620389,Shared Room near to Jameson's,12076665,Erik,Dublin City,53.35186,-6.27579,Shared room,38,1,6,11/09/2016,0.08,1,0,0,1,1
2635493,True Dubliner home near city centre,67159,John,Dublin City,53.31822,-6.23711,Entire home/apt,200,1,1,30/09/2014,0.01,1,0,0,1,1
2647405,Private Room close to City & Beach,9924228,Barry,Dublin City,53.33974,-6.23378,Private room,65,2,70,24/04/2018,0.66,1,0,0,1,2
2671586,House between airport and city,13675875,Bernadette,Dublin City,53.38946,-6.24341,Entire home/apt,97,7,1,23/07/2016,0.01,1,0,0,1,7
2685349,Huge apartment in central location,13736584,Rachel,Dublin City,53.33408,-6.23764,Entire home/apt,290,2,106,18/12/2016,1.03,2,0,0,2,2
2686112,Super Central  ensuite double room,13748399,Antonio,Dublin City,53.35322,-6.26188,Private room,193,3,74,17/09/2022,0.7,1,8,11,1,3
2691951,Bright spacious mews in great location,11437558,Laura,Dn Laoghaire-Rathdown,53.31019,-6.20477,Entire home/apt,211,2,82,26/11/2022,2.23,1,277,37,1,2
2703497,"Seaside Hideaway, Dún Laoghaire",13811619,Padraig,Dn Laoghaire-Rathdown,53.29444,-6.14328,Entire home/apt,350,2,3,18/09/2022,0.55,1,21,3,1,2
2719863,Dublin City Centre. Christchurch.,9333782,Fatima,Dublin City,53.34403,-6.2766,Private room,73,2,3,26/05/2014,0.03,1,0,0,1,2
2734096,Double Room in the Docklands,11211199,Dave,Dublin City,53.34374,-6.23594,Private room,210,3,24,13/09/2022,0.24,1,364,7,1,3
2754860,A little piece of heaven,14091285,Bella,Fingal,53.56748,-6.38298,Entire home/apt,300,7,7,06/08/2022,0.1,1,76,3,1,7
2760521,Grand Canal Dock 1 bedroom,3846772,Sag,Dublin City,53.346,-6.23933,Entire home/apt,77,7,6,30/12/2021,0.06,12,0,1,10,7
2770813,Family Room (1 Double & 1 Single bed),14169546,Maeve,Dublin City,53.36417,-6.18684,Private room,138,1,118,28/11/2022,1.13,4,343,41,4,1
